Geography,Year,Total_Est,Total_EstErr,HispanicLatino_Est,HispanicLatino_EstErr,HispanicLatino_Pct,HispanicLatino_PctErr,WhiteAlone_Est,WhiteAlone_EstErr,WhiteAlone_Pct,WhiteAlone_PctErr,BlackAlone_Est,BlackAlone_EstErr,BlackAlone_Pct,BlackAlone_PctErr,IndianAlaskaAlone_Est,IndianAlaskaAlone_EstErr,IndianAlaskaAlone_Pct,IndianAlaskaAlone_PctErr,AsianAlone_Est,AsianAlone_EstErr,AsianAlone_Pct,AsianAlone_PctErr,HawaiianPacificAlone_Est,HawaiianPacific_EstErr,HawaiianPacific_Pct,HawaiianPacific_PctErr,MedianHouseholdIncome_Est,MedianHouseholdIncome_EstErr,MeanHouseholdIncome_Est,MeanHouseholdIncome_EstErr,MedianFamilyIncome_Est,MedianFamilyIncome_EstErr,MeanFamilyIncome_Est,MeanFamilyIncome_EstErr,PercapitaIncome_Est,PercapitaIncome_EstErr,PovertyRate_Est,PovertyRate_EstErr,,
Oceanside city,"2,017 ","176,208 ",61 ,"63,729 ","6,993 ",36 ,4 ,"82,615 ","6,541 ",47 ,4 ,"8,641 ","3,639 ",5 ,2 ,"1,093 ",795 ,1 ,1 ,"13,731 ","3,237 ",8 ,2 ,675 ,875 ,0 ,1 ,"71,609 ","3,550 ","94,619 ","5,140 ","83,035 ","8,086 ","106,442 ","7,325 ","34,468 ","2,029 ",11 ,2 ,,
San Diego city,"2,017 ","1,419,488 ",92 ,"429,174 ","15,399 ",30 ,1 ,"604,167 ","12,351 ",43 ,1 ,"82,710 ","6,458 ",6 ,1 ,"4,009 ","1,019 ",0 ,0 ,"237,487 ","11,649 ",17 ,1 ,"5,949 ","1,892 ",0 ,0 ,"76,662 ","1,736 ","105,393 ","2,573 ","90,695 ","2,613 ","122,631 ","3,673 ","39,325 ",970 ,13 ,1 ,,
San Marcos city,"2,017 ","96,188 ",48 ,"43,283 ","5,687 ",45 ,6 ,"39,438 ","5,342 ",41 ,6 ,"1,255 ",821 ,1 ,1 ,694 ,489 ,1 ,1 ,"8,041 ","2,257 ",8 ,2 ,61 ,103 ,0 ,0 ,"76,272 ","11,169 ","103,600 ","9,167 ","87,369 ","11,107 ","119,455 ","11,578 ","33,696 ","3,112 ",9 ,3 ,,
Vista city,"2,017 ","101,557 ",42 ,"53,215 ","4,603 ",52 ,5 ,"40,577 ","3,963 ",40 ,4 ,"2,704 ","1,441 ",3 ,1 ,97 ,129 ,0 ,0 ,"3,452 ","1,266 ",3 ,1 ,94 ,156 ,0 ,0 ,"68,130 ","4,472 ","81,400 ","5,360 ","71,384 ","6,396 ","87,000 ","6,703 ","26,993 ","1,989 ",9 ,3 ,,
San Diego County,"2,018 ","3,343,364 ",*****,"1,135,348 ",*****,34 ,*****,"1,506,449 ","1,795 ",45 ,0 ,"159,725 ","3,560 ",5 ,0 ,"13,878 ","1,429 ",0 ,0 ,"392,916 ","6,920 ",12 ,0 ,"12,823 ","1,530 ",0 ,0 ,"79,079 ","1,474 ","106,237 ","1,467 ","90,981 ","1,440 ","119,407 ","1,848 ","37,841 ",496 ,11 ,1 ,,
Carlsbad city,"2,018 ","115,897 ",79 ,"15,751 ","4,570 ",14 ,4 ,"84,796 ","5,342 ",73 ,5 ,"2,403 ","2,193 ",2 ,2 ,100 ,158 ,0 ,0 ,"9,680 ","2,878 ",8 ,3 ,0 ,211 ,0 ,0 ,"103,866 ","7,471 ","142,778 ","10,408 ","127,773 ","14,829 ","164,396 ","13,830 ","56,121 ","4,764 ",10 ,5 ,,
Chula Vista city,"2,018 ","271,653 ",36 ,"166,424 ","8,500 ",61 ,3 ,"44,253 ","5,647 ",16 ,2 ,"8,181 ","3,103 ",3 ,1 ,201 ,187 ,0 ,0 ,"44,338 ","7,459 ",16 ,3 ,721 ,705 ,0 ,0 ,"86,082 ","5,738 ","100,115 ","5,656 ","95,751 ","6,873 ","107,590 ","7,008 ","30,369 ","1,814 ",8 ,2 ,,
El Cajon city,"2,018 ","103,229 ",57 ,"23,857 ","3,908 ",23 ,4 ,"64,196 ","4,428 ",62 ,4 ,"5,151 ","2,209 ",5 ,2 ,44 ,81 ,0 ,0 ,"4,716 ","2,024 ",5 ,2 ,437 ,510 ,0 ,1 ,"52,691 ","4,303 ","75,536 ","7,712 ","58,793 ","9,952 ","80,482 ","9,258 ","25,722 ","2,656 ",20 ,5 ,,
Escondido city,"2,018 ","152,232 ",74 ,"79,174 ","6,152 ",52 ,4 ,"51,353 ","5,072 ",34 ,3 ,"3,624 ","1,444 ",2 ,1 ,"1,674 ","1,460 ",1 ,1 ,"10,904 ","3,227 ",7 ,2 ,284 ,440 ,0 ,0 ,"61,070 ","3,189 ","80,825 ","5,213 ","70,049 ","8,221 ","92,381 ","6,407 ","29,226 ","1,770 ",14 ,3 ,,
Oceanside city,"2,018 ","176,090 ",56 ,"60,646 ","6,438 ",34 ,4 ,"82,679 ","6,359 ",47 ,4 ,"6,725 ","2,013 ",4 ,1 ,724 ,748 ,0 ,0 ,"14,669 ","3,376 ",8 ,2 ,"1,692 ","1,300 ",1 ,1 ,"74,387 ","6,025 ","93,662 ","7,135 ","85,819 ","5,224 ","105,092 ","9,458 ","33,788 ","2,631 ",10 ,2 ,,
